2019-02-17 18:04:33,399 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:DESKTOP-I77P024-49960-1550408040768-0:1) uptime 3 hours 10 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2019-02-17 18:04:33,401 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:DESKTOP-I77P024-49960-1550408040768-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2019-02-17 18:04:33,403 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@589838eb: startup date [Sun Feb 17 14:53:59 EET 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2019-02-17 18:04:33,416 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
2019-02-18 13:00:52,346 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@d62f43: startup date [Mon Feb 18 13:00:52 EET 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-02-18 13:00:53,203 | INFO  | PListStore:[D:\Programs\apache-activemq-5.13.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-02-18 13:00:53,250 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Programs\apache-activemq-5.13.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2019-02-18 13:00:53,749 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2019-02-18 13:00:53,775 | INFO  | Recovering from the journal @1:1283180 | org.apache.activemq.store.kahadb.MessageDatabase | main
2019-02-18 13:00:53,791 | INFO  | Recovery replayed 11 operations from the journal in 0.026 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2019-02-18 13:00:53,947 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:DESKTOP-I77P024-50851-1550487653822-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-02-18 13:00:54,025 | INFO  | Listening for connections at: tcp://DESKTOP-I77P024:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-18 13:00:54,041 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-02-18 13:00:54,041 | INFO  | Listening for connections at: amqp://DESKTOP-I77P024:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-18 13:00:54,041 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2019-02-18 13:00:54,041 | INFO  | Listening for connections at: stomp://DESKTOP-I77P024:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-18 13:00:54,041 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2019-02-18 13:00:54,061 | INFO  | Listening for connections at: mqtt://DESKTOP-I77P024:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-18 13:00:54,063 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2019-02-18 13:00:54,197 | INFO  | Listening for connections at ws://DESKTOP-I77P024:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2019-02-18 13:00:54,197 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2019-02-18 13:00:54,197 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:DESKTOP-I77P024-50851-1550487653822-0:1) started | org.apache.activemq.broker.BrokerService | main
2019-02-18 13:00:54,212 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2019-02-18 13:00:54,509 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2019-02-18 13:00:54,671 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2019-02-18 13:00:54,671 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2019-02-18 13:00:54,734 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2019-02-18 13:00:54,921 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2019-02-18 13:00:55,200 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2019-02-18 17:23:12,493 | WARN  | Transport Connection to: tcp://127.0.0.1:50917 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50917@61616
2019-02-18 17:23:12,507 | WARN  | Transport Connection to: tcp://127.0.0.1:50923 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50923@61616
2019-02-18 17:23:12,532 | WARN  | Transport Connection to: tcp://127.0.0.1:50920 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50920@61616
2019-02-18 17:23:12,555 | WARN  | Transport Connection to: tcp://127.0.0.1:50926 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50926@61616
2019-02-18 17:23:12,564 | WARN  | Transport Connection to: tcp://127.0.0.1:54776 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54776@61616
2019-02-18 17:23:12,575 | WARN  | Transport Connection to: tcp://127.0.0.1:54805 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54805@61616
2019-02-18 17:23:12,588 | WARN  | Transport Connection to: tcp://127.0.0.1:54967 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54967@61616
2019-02-18 20:33:16,567 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:DESKTOP-I77P024-50851-1550487653822-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-30
2019-02-18 20:33:16,593 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2019-02-18 20:33:16,597 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2019-02-18 20:33:16,601 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2019-02-18 20:33:16,605 | INFO  | socketQueue interrupted - stopping | org.apache.activemq.transport.tcp.TcpTransportServer | ActiveMQ Transport Server Thread Handler: mqtt://0.0.0.0:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2019-02-18 20:33:16,605 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2019-02-18 20:33:16,611 | ERROR | Could not accept connection : java.lang.InterruptedException | org.apache.activemq.broker.TransportConnector | ActiveMQ Transport Server Thread Handler: mqtt://0.0.0.0:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2019-02-18 20:33:16,654 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2019-02-18 20:33:16,674 | INFO  | PListStore:[D:\Programs\apache-activemq-5.13.0\bin\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-30
2019-02-18 20:33:16,678 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-30
